iter	Passed	Remaining
0	1	119
1	2	108
2	3	122
3	4	111
4	5	108
5	8	127
6	9	122
7	10	121
8	15	161
9	17	153
10	18	147
11	19	141
12	20	137
13	21	131
14	22	126
15	23	121
16	23	116
17	24	113
18	26	111
19	27	108
20	28	106
21	29	103
22	30	101
23	31	98
24	32	96
25	33	95
26	35	96
27	36	93
28	37	91
29	38	89
30	39	87
31	40	85
32	41	84
33	42	82
34	43	80
35	43	78
36	44	76
37	45	74
38	46	72
39	47	71
40	48	69
41	48	67
42	49	65
43	50	64
44	51	62
45	51	61
46	52	59
47	53	58
48	54	56
49	55	55
50	56	54
51	57	52
52	58	51
53	59	50
54	59	48
55	60	47
56	61	46
57	62	44
58	62	43
59	63	42
60	64	41
61	65	40
62	66	38
63	67	37
64	67	36
65	68	35
66	70	34
67	71	33
68	71	32
69	72	31
70	73	30
71	74	29
72	75	28
73	76	26
74	77	25
75	78	24
76	79	23
77	80	22
78	80	21
79	81	20
80	82	19
81	83	18
82	84	17
83	85	16
84	85	15
85	86	14
86	87	13
87	88	12
88	89	11
89	90	10
90	90	8
91	91	7
92	92	6
93	93	5
94	94	4
95	94	3
96	95	2
97	96	1
98	97	0
99	98	0
