iter	Passed	Remaining
0	307	307444
1	308	154175
2	310	103033
3	311	77446
4	312	62123
5	313	51926
6	314	44636
7	316	39267
8	318	35032
9	319	31608
10	320	28811
11	321	26469
12	322	24491
13	324	22861
14	326	21420
15	327	20138
16	328	19006
17	329	17996
18	331	17115
19	332	16301
20	333	15565
21	335	14895
22	336	14281
23	337	13721
24	338	13205
25	339	12719
26	340	12271
27	341	11868
28	342	11479
29	343	11112
30	345	10802
31	346	10486
32	347	10185
33	348	9904
34	349	9638
35	350	9387
36	351	9154
37	352	8934
38	353	8720
39	354	8513
40	355	8316
41	356	8129
42	357	7951
43	358	7781
44	360	7642
45	361	7489
46	362	7342
47	363	7200
48	364	7068
49	365	6940
50	366	6813
51	366	6690
52	367	6572
53	368	6459
54	369	6349
55	370	6243
56	371	6141
57	372	6042
58	374	5972
59	375	5881
60	376	5793
61	377	5708
62	378	5633
63	379	5554
64	381	5480
65	382	5409
66	383	5339
67	384	5270
68	385	5203
69	387	5147
70	388	5089
71	390	5027
72	391	4966
73	392	4907
74	394	4859
75	395	4803
76	396	4747
77	396	4692
78	398	4640
79	398	4588
80	399	4536
81	400	4485
82	401	4435
83	403	4397
84	404	4353
85	405	4308
86	406	4264
87	438	4547
88	441	4522
89	443	4483
90	445	4450
91	450	4447
92	452	4411
93	453	4373
94	455	4335
95	456	4297
96	459	4276
97	460	4240
98	461	4204
99	463	4169
100	464	4135
101	466	4103
102	467	4070
103	468	4039
104	470	4007
105	471	3976
106	472	3945
107	474	3915
108	476	3895
109	477	3867
110	480	3851
111	482	3822
112	483	3794
113	484	3767
114	486	3740
115	487	3714
116	500	3776
117	501	3751
118	503	3725
119	504	3699
120	505	3674
121	506	3646
122	511	3644
123	512	3620
124	513	3596
125	515	3573
126	516	3547
127	517	3524
128	518	3503
129	520	3483
130	521	3460
131	522	3437
132	523	3414
133	526	3401
134	527	3381
135	529	3361
136	534	3365
137	535	3345
138	536	3324
139	537	3303
140	538	3281
141	539	3258
142	540	3237
143	541	3216
144	541	3195
145	542	3174
146	543	3154
147	544	3134
148	545	3118
149	546	3098
150	547	3079
151	548	3059
152	549	3040
153	550	3022
154	550	3003
155	551	2985
156	552	2967
157	553	2949
158	554	2932
159	555	2915
160	555	2896
161	556	2879
162	557	2862
163	558	2845
164	559	2830
165	560	2817
166	561	2801
167	562	2785
168	563	2770
169	564	2754
170	565	2739
171	565	2723
172	566	2708
173	567	2695
174	569	2683
175	570	2669
176	570	2654
177	571	2640
178	572	2626
179	573	2612
180	575	2602
181	576	2589
182	577	2576
183	578	2563
184	579	2550
185	580	2538
186	581	2526
187	581	2513
188	582	2500
189	583	2488
190	584	2475
191	585	2463
192	586	2450
193	586	2438
194	587	2426
195	588	2415
196	590	2406
197	591	2394
198	592	2383
199	592	2371
200	593	2359
201	594	2348
202	595	2337
203	596	2326
204	597	2315
205	597	2304
206	598	2293
207	599	2283
208	600	2272
209	601	2261
210	602	2251
211	602	2240
212	604	2233
213	605	2223
214	606	2213
215	607	2203
216	607	2193
217	608	2183
218	609	2173
219	610	2164
220	611	2154
221	612	2145
222	612	2135
223	613	2125
224	614	2116
225	615	2107
226	616	2098
227	616	2088
228	617	2079
229	619	2074
230	620	2066
231	621	2057
232	622	2049
233	623	2040
234	624	2031
235	624	2023
236	625	2014
237	626	2006
238	627	1997
239	628	1989
240	629	1980
241	629	1972
242	630	1964
243	631	1956
244	632	1948
245	633	1941
246	635	1936
247	635	1928
248	636	1920
249	637	1913
250	638	1905
251	639	1897
252	640	1890
253	640	1882
254	641	1875
255	642	1867
256	643	1860
257	644	1852
258	645	1845
259	645	1838
260	646	1831
261	647	1824
262	649	1820
263	650	1813
264	651	1806
265	652	1799
266	652	1792
267	653	1785
268	654	1778
269	655	1771
270	656	1765
271	657	1758
272	657	1751
273	658	1745
274	659	1738
275	660	1732
276	661	1725
277	661	1719
278	662	1712
279	665	1710
280	665	1703
281	666	1697
282	667	1691
283	668	1684
284	669	1678
285	669	1672
286	670	1666
287	671	1660
288	672	1654
289	673	1648
290	674	1642
291	674	1636
292	675	1630
293	676	1624
294	677	1619
295	679	1615
296	680	1610
297	681	1605
298	682	1599
299	683	1594
300	684	1589
301	685	1583
302	686	1578
303	686	1572
304	687	1567
305	688	1561
306	689	1556
307	690	1550
308	691	1545
309	691	1540
310	693	1536
311	694	1532
312	696	1527
313	696	1522
314	697	1517
315	698	1511
316	699	1506
317	700	1501
318	700	1496
319	701	1491
320	702	1486
321	703	1481
322	704	1475
323	705	1471
324	705	1466
325	706	1461
326	709	1459
327	710	1455
328	711	1451
329	712	1446
330	713	1442
331	714	1437
332	715	1433
333	716	1428
334	717	1423
335	718	1419
336	718	1414
337	719	1409
338	720	1405
339	721	1401
340	724	1399
341	725	1395
342	726	1390
343	727	1386
344	727	1382
345	728	1377
346	729	1373
347	730	1369
348	731	1365
349	732	1360
350	733	1357
351	735	1353
352	736	1349
353	737	1345
354	738	1342
355	739	1337
356	740	1333
357	741	1329
358	742	1324
359	742	1320
360	743	1316
361	744	1312
362	745	1308
363	746	1304
364	747	1300
365	748	1296
366	749	1292
367	749	1287
368	750	1283
369	751	1280
370	753	1276
371	753	1272
372	754	1268
373	755	1264
374	756	1260
375	757	1256
376	758	1252
377	758	1248
378	759	1244
379	760	1240
380	761	1237
381	762	1233
382	763	1229
383	764	1225
384	764	1221
385	765	1218
386	767	1215
387	768	1212
388	769	1208
389	770	1205
390	771	1201
391	772	1198
392	773	1194
393	774	1191
394	775	1187
395	776	1184
396	777	1181
397	778	1178
398	779	1174
399	780	1171
400	782	1168
401	783	1164
402	783	1161
403	784	1157
404	785	1154
405	786	1150
406	787	1147
407	788	1143
408	789	1140
